user_id,area_id
100001,1
100002,1
100003,1
100004,1
100005,1
100006,1
100007,1
100008,1
100009,1
100010,1
100021,2
100022,2
100023,2
100024,2
100025,2
100026,2
100027,2
100028,2
100029,2
100030,2
100036,3
100037,3
100038,3
100039,3
100040,3
100041,3
100042,3
100043,3
100044,3
100045,3
100096,4
100097,4
100098,4
100099,4
100100,4
100101,4
100102,4
100103,4
100104,4
100105,4
100156,5
100157,5
100158,5
100159,5
100160,5
100161,5
100162,5
100163,5
100164,5
100165,5
100166,5
100167,5
100168,5
100169,5
100170,5
100171,5
100172,5
100173,5
100174,5
100175,5
100176,5
100177,5
100178,5
100179,5
100180,5
100181,5
100182,5
100183,5
100184,5
100185,5
100186,5
100187,5
100188,5
100189,5
100190,5
100191,5
100192,5
100193,5
100194,5
100195,5
100196,5
100197,5
100198,5
100199,5
100200,5
100201,5
100202,5
100203,5
100204,5
100205,5
100206,5
100207,5
100208,5
100209,5
100210,5
100211,5
100212,5
100213,5
100214,5
100215,5
100216,5
100217,5
100218,5
100219,5
100220,5
100221,5
100222,5
100223,5
100224,5
100225,5
100226,5
100227,5
100228,5
100229,5
100230,5
100231,5
100232,5
100233,5
100234,5
100235,5
100236,5
100237,5
100238,5
100239,5
100240,5
100241,5
100242,5
100243,5
100244,5
100245,5
100246,5
100247,5
100248,5
100249,5
100250,5
100251,5
100252,5
100253,5
100254,5
100255,5
100756,6
100757,6
100758,6
100759,6
100760,6
100761,6
100762,6
100763,6
100764,6
100765,6
100766,6
100767,6
100768,6
100769,6
100770,6
100771,6
100772,6
100773,6
100774,6
100775,6
100776,6
100777,6
100778,6
100779,6
100780,6
100781,6
100782,6
100783,6
100784,6
100785,6
100786,6
100787,6
100788,6
100789,6
100790,6
100791,6
100792,6
100793,6
100794,6
100795,6
100796,6
100797,6
100798,6
100799,6
100800,6
100801,6
100802,6
100803,6
100804,6
100805,6
100806,6
100807,6
100808,6
100809,6
100810,6
100811,6
100812,6
100813,6
100814,6
100815,6
100816,6
100817,6
100818,6
100819,6
100820,6
100821,6
100822,6
100823,6
100824,6
100825,6
100826,6
100827,6
100828,6
100829,6
100830,6
100831,6
100832,6
100833,6
100834,6
100835,6
100836,6
100837,6
100838,6
100839,6
100840,6
100841,6
100842,6
100843,6
100844,6
100845,6
100846,6
100847,6
100848,6
100849,6
100850,6
100851,6
100852,6
100853,6
100854,6
100855,6
101356,7
101357,7
101358,7
101359,7
101360,7
101361,7
101362,7
101363,7
101364,7
101365,7
101366,7
101367,7
101368,7
101369,7
101370,7
101371,7
101372,7
101373,7
101374,7
101375,7
101376,7
101377,7
101378,7
101379,7
101380,7
101381,7
101382,7
101383,7
101384,7
101385,7
101386,7
101387,7
101388,7
101389,7
101390,7
101391,7
101392,7
101393,7
101394,7
101395,7
101396,7
101397,7
101398,7
101399,7
101400,7
101401,7
101402,7
101403,7
101404,7
101405,7
101406,7
101407,7
101408,7
101409,7
101410,7
101411,7
101412,7
101413,7
